Item,Frequency
"ゼロ",56531967
"サイト",2718852
"トウキョウ",2612235
"パーセント",2382553
"サイズ",2336255
"ゲーム",2224618
"ページ",1871432
"メール",1845639
"サービス",1805679
"ブログ",1805454
"テレビ",1692378
"システム",1627507
"デザイン",1539273
"カード",1526660
"セット",1523453
"タイプ",1516552
"アップ",1505824
"アメリカ",1483805
"レベル",1465994
"ファン",1441033
"ポイント",1428548
"ネット",1407294
"オオサカ",1386540
"データ",1338757
"ホテル",1316797
"コメント",1311406
"イベント",1298785
"キャラ",1253162
"バス",1245104
"シリーズ",1210890
"チーム",1204074
"イメージ",1200616
"カラー",1156757
"ライン",1153044
"センター",1151561
"ライブ",1126454
"ホーム",1120425
"モデル",1117372
"メーカー",1104813
"ソフト",1084928
"シーン",1071484
"アニメ",1063694
"プレー",1030466
"マン",1025340
"トップ",978291
"メンバー",978225
"ワン",929363
"チェック",926305
"プロ",919084
"ドラマ",905575
"ケース",896282
"コース",892224
"グループ",862207
"ニュース",856980
"パン",843922
"スポーツ",840431
"カメラ",833163
"バック",830169
"スタッフ",829281
"キョウト",822804
"ボール",820839
"パソコン",808797
"イン",804703
"ファイル",802336
"ブランド",799934
"クラス",792613
"キー",792182
"クラブ",782351
"タイム",776292
"スレ",775295
"テーマ",769276
"ビジネス",761770
"リンク",754339
"オン",751119
"スタイル",747071
"タイトル",737238
"メーン",718938
"ショップ",704320
"ブラック",698987
"アルバム",690822
"アイテム",684370
"ユーザー",680608
"フランス",679220
"スーパー",670351
"エネルギー",664667
"ガラス",659553
"プレゼント",647261
"レース",645911
"スタート",640904
"オリジナル",639862
"ママ",637718
"ドル",636786
"バッグ",635471
"パワー",632719
"バランス",627457
"ワイン",624499
"バンド",619390
"メートル",617032
"サポート",615148
"レビュー",613209
"ロック",611508
"オキナワ",605693
"インターネット",599557
"シャツ",596532
"カット",593698
"ベスト",593246
"ホッカイドウ",592737
"ツアー",583337
"プログラム",582823
"ライト",580256
"ベース",578642
"ボタン",573878
