Hepburn,Kana,English,Is Noun,Is Verb,Is Adjective,Is Adverb,Frequency
zero,ゼロ,zero/nought/nil,True,False,False,False,56531967
saito,サイト,site (usu. website),True,False,False,False,2718852
toukyou,トウキョウ,NOTFOUND,False,False,False,False,2612235
paasento,パーセント,percent/percentage,True,False,False,False,2382553
saizu,サイズ,size,True,False,False,False,2336255
geemu,ゲーム,game,True,False,False,False,2224618
peeji,ページ,page,True,False,False,False,1871432
meeru,メール,email,True,True,False,False,1845639
saabisu,サービス,service/help/assistance/care/concern,True,True,False,False,1805679
burogu,ブログ,blog/weblog,True,False,False,False,1805454
terebi,テレビ,television/TV,True,False,False,False,1692378
shisutemu,システム,system,True,False,False,False,1627507
dezain,デザイン,design,True,True,False,False,1539273
kaado,カード,"card (information, filing, etc.)",True,False,False,False,1526660
setto,セット,set,True,True,False,False,1523453
taipu,タイプ,type/kind/sort/style,True,False,False,False,1516552
appu,アップ,increasing,True,True,False,False,1505824
amerika,アメリカ,America,True,False,False,False,1483805
reberu,レベル,level/standard/amount/degree/grade/rank/class,True,False,False,False,1465994
fan,ファン,fan/enthusiast/lover (of),True,False,False,False,1441033
pointo,ポイント,point,True,True,False,False,1428548
netto,ネット,network,True,False,False,False,1407294
oosaka,オオサカ,NOTFOUND,False,False,False,False,1386540
deeta,データ,data/datum,True,False,False,False,1338757
hoteru,ホテル,hotel,True,False,False,False,1316797
komento,コメント,comment,True,True,False,False,1311406
ibento,イベント,event,True,False,False,False,1298785
kyara,キャラ,(fictional) character,True,False,False,False,1253162
basu,バス,bus,True,False,False,False,1245104
shiriizu,シリーズ,series,True,False,False,False,1210890
chiimu,チーム,team,True,False,False,False,1204074
imeeji,イメージ,image (in one's mind)/impression/mental image/(mental) picture,True,True,False,False,1200616
karaa,カラー,collar,True,False,False,False,1156757
rain,ライン,line,True,False,False,False,1153044
sentaa,センター,centre/center,True,False,False,False,1151561
raibu,ライブ,"live (esp. concert, show, etc.)/live performance",True,True,False,False,1126454
hoomu,ホーム,platform,True,False,False,False,1120425
moderu,モデル,model/dummy/mock-up,True,False,False,False,1117372
meekaa,メーカー,manufacturer (esp. a major company)/producer/maker,True,False,False,False,1104813
sofuto,ソフト,soft,True,False,True,False,1084928
shiin,シーン,scene/sight,True,False,False,False,1071484
anime,アニメ,animation/animated film/animated cartoon/anime,True,False,False,False,1063694
puree,プレー,play/recreation,True,True,False,False,1030466
man,マン,man,True,False,False,False,1025340
toppu,トップ,top,True,False,False,False,978291
menbaa,メンバー,member/participant/attendee/lineup (sport),True,False,False,False,978225
wan,ワン,one,False,False,False,False,929363
chekku,チェック,check/plaid/checkered,True,False,False,False,926305
puro,プロ,professional,True,False,False,False,919084
dorama,ドラマ,(non-documentary) television series/TV drama/teledrama/play,True,False,False,False,905575
keesu,ケース,"case (e.g. receptacle, condition, event, legal action, letter style, etc.)",True,False,False,False,896282
koosu,コース,course/route/trail,True,False,False,False,892224
guruupu,グループ,group (usu. of people),True,False,False,False,862207
nyuusu,ニュース,news,True,False,False,False,856980
pan,パン,bread/pastries (e.g. croissants)/pastry-based products,True,False,False,False,843922
supootsu,スポーツ,sport/sports,True,False,False,False,840431
kamera,カメラ,camera,True,False,False,False,833163
bakku,バック,back,True,False,False,False,830169
sutaffu,スタッフ,staff,True,False,False,False,829281
kyouto,キョウト,NOTFOUND,False,False,False,False,822804
booru,ボール,ball,True,False,False,False,820839
pasokon,パソコン,personal computer,True,False,False,False,808797
in,イン,"in (of a ball, in tennis, etc.)/inside the line",True,False,False,False,804703
fairu,ファイル,file,True,True,False,False,802336
burando,ブランド,brand,True,False,False,False,799934
kurasu,クラス,class,True,False,False,False,792613
kii,キー,"key (lock, keyboard, piano, clue, island, cay, etc.)",True,False,False,False,792182
kurabu,クラブ,nightclub,True,False,False,False,782351
taimu,タイム,time,True,False,False,False,776292
sure,スレ,"thread (on an Internet forum, mailing list, etc.)/topic/conversation/post",True,False,False,False,775295
teema,テーマ,theme/topic/subject matter/motif/project/slogan,True,False,False,False,769276
bijinesu,ビジネス,business,True,False,False,False,761770
rinku,リンク,link/directory entry,True,True,False,False,754339
on,オン,on,True,True,False,False,751119
sutairu,スタイル,(one's) figure/build/physique/shape,True,False,False,False,747071
taitoru,タイトル,title,True,False,False,False,737238
meen,メーン,main/principal,True,False,False,False,718938
shoppu,ショップ,shop,True,False,False,False,704320
burakku,ブラック,black,True,False,False,False,698987
arubamu,アルバム,album,True,False,False,False,690822
aitemu,アイテム,item,True,False,False,False,684370
yuuzaa,ユーザー,user,True,False,False,False,680608
furansu,フランス,France,True,False,False,False,679220
suupaa,スーパー,supermarket,True,False,False,False,670351
enerugii,エネルギー,energy,True,False,False,False,664667
garasu,ガラス,glass/pane,True,False,False,False,659553
purezento,プレゼント,present/gift,True,False,False,False,647261
reesu,レース,race,True,False,False,False,645911
sutaato,スタート,start,True,True,False,False,640904
orijinaru,オリジナル,original,True,False,False,False,639862
mama,ママ,mama/mamma/mom/mommy/mum/mummy/mother,True,False,False,False,637718
doru,ドル,dollar,True,False,False,False,636786
baggu,バッグ,bag,True,False,False,False,635471
pawaa,パワー,power,True,False,False,False,632719
baransu,バランス,balance,True,True,False,False,627457
wain,ワイン,wine,True,False,False,False,624499
bando,バンド,band,True,False,False,False,619390
meetoru,メートル,metre/meter,True,False,False,False,617032
sapooto,サポート,support,True,True,False,False,615148
rebyuu,レビュー,review,True,True,False,False,613209
rokku,ロック,lock,True,True,False,False,611508
okinawa,オキナワ,NOTFOUND,False,False,False,False,605693
intaanetto,インターネット,Internet,True,False,False,False,599557
