Hepburn,Kana,English,Is Noun,Is Verb,Is Adjective,Is Adverb,Frequency
saboru,サボる,to be truant/to slack off/to play hooky/to skip school/to cut class/to skip out,False,True,False,False,75345
guguru,ググる,to Google/to search for information on the WWW,False,True,False,False,51231
daburu,ダブる,to be duplicated/to be repeated,False,True,False,False,22546
misuru,ミスる,to make a mistake/to mess up/to make an error/to err,False,True,False,False,22401
tenparu,テンパる,to become one tile away from completion,False,True,False,False,17378
memoru,メモる,to take notes,False,True,False,False,14050
hamoru,ハモる,to harmonize/to harmonise/to be in harmony,False,True,False,False,7040
baguru,バグる,to behave buggily (of software)/to act up/to behave strangely,False,True,False,False,6303
disuru,ディスる,to dis/to diss/to disrespect,False,True,False,False,5646
panikuru,パニクる,to panic/to freak out/to fly into a tizzy,False,True,False,False,5132
toraburu,トラブる,to make trouble,False,True,False,False,4605
dekoru,デコる,"to decorate/to prettify/to attach a decorative sticker, cover, bauble, etc. to a cell phone, notebook, slippers, etc.",False,True,False,False,3946
tsumoru,ツモる,to draw a tile from the wall,False,True,False,False,2706
posharu,ポシャる,to break down/to fail/to fizzle/to flop/to peter out/to fall flat,False,True,False,False,2639
takuru,タクる,to catch a taxi/to take a taxi,False,True,False,False,1354
ajiru,アジる,to stir up/to instigate (somebody to do something)/to agitate/to foment,False,True,False,False,1112
rezuru,レズる,to engage in lesbian sexual activity,False,True,False,False,1071
demoru,デモる,to demonstrate (e.g. in the streets),False,True,False,False,1051
dafuru,ダフる,to duff (golf)/to sclaff/to hit the ground behind the ball during a stroke,False,True,False,False,1038
neguru,ネグる,to neglect,False,True,False,False,589
nabiru,ナビる,to navigate,False,True,False,False,473
paniru,パニる,NOTFOUND,False,False,False,False,269
negoru,ネゴる,NOTFOUND,False,False,False,False,135
adoru,アドる,NOTFOUND,False,False,False,False,85
saborasu,サボらす,NOTFOUND,False,False,False,False,15
roderu,ロデる,NOTFOUND,False,False,False,False,14
