Hepburn,Kana,English,Is Noun,Is Verb,Is Adjective,Is Adverb,Frequency
saito,サイト,site (usu. website),True,False,False,False,2714191
saizu,サイズ,size,True,False,False,False,2335959
geemu,ゲーム,game,True,False,False,False,2218381
meeru,メール,email,True,True,False,False,1823604
saabisu,サービス,service/help/assistance/care/concern,True,True,False,False,1801686
burogu,ブログ,blog/weblog,True,False,False,False,1791612
peeji,ページ,page,True,False,False,False,1762357
terebi,テレビ,television/TV,True,False,False,False,1685618
shisutemu,システム,system,True,False,False,False,1610239
dezain,デザイン,design,True,True,False,False,1537834
kaado,カード,"card (information, filing, etc.)",True,False,False,False,1525958
setto,セット,set,True,True,False,False,1522438
taipu,タイプ,type/kind/sort/style,True,False,False,False,1515128
amerika,アメリカ,America,True,False,False,False,1480633
reberu,レベル,level/standard/amount/degree/grade/rank/class,True,False,False,False,1458426
pointo,ポイント,point,True,True,False,False,1424610
appu,アップ,increasing,True,True,False,False,1424269
fan,ファン,fan/enthusiast/lover (of),True,False,False,False,1421614
netto,ネット,network,True,False,False,False,1392384
komento,コメント,comment,True,True,False,False,1310828
hoteru,ホテル,hotel,True,False,False,False,1309344
deeta,データ,data/datum,True,False,False,False,1308462
ibento,イベント,event,True,False,False,False,1291860
kyara,キャラ,(fictional) character,True,False,False,False,1253162
basu,バス,bus,True,False,False,False,1233395
shiriizu,シリーズ,series,True,False,False,False,1210890
chiimu,チーム,team,True,False,False,False,1200578
imeeji,イメージ,image (in one's mind)/impression/mental image/(mental) picture,True,True,False,False,1195455
karaa,カラー,collar,True,False,False,False,1152372
rain,ライン,line,True,False,False,False,1146754
sentaa,センター,centre/center,True,False,False,False,1135178
moderu,モデル,model/dummy/mock-up,True,False,False,False,1116619
hoomu,ホーム,platform,True,False,False,False,1094592
sofuto,ソフト,soft,True,False,True,False,1084742
shiin,シーン,scene/sight,True,False,False,False,1080426
meekaa,メーカー,manufacturer (esp. a major company)/producer/maker,True,False,False,False,1065246
anime,アニメ,animation/animated film/animated cartoon/anime,True,False,False,False,1063671
dame,ダメ,no good/not serving its purpose/useless/broken,True,False,True,False,997852
raibu,ライブ,"live (esp. concert, show, etc.)/live performance",True,True,False,False,977966
menbaa,メンバー,member/participant/attendee/lineup (sport),True,False,False,False,952536
chekku,チェック,check/plaid/checkered,True,False,False,False,923909
puro,プロ,professional,True,False,False,False,914401
toppu,トップ,top,True,False,False,False,912463
dorama,ドラマ,(non-documentary) television series/TV drama/teledrama/play,True,False,False,False,905575
keesu,ケース,"case (e.g. receptacle, condition, event, legal action, letter style, etc.)",True,False,False,False,894695
koosu,コース,course/route/trail,True,False,False,False,892117
sure,スレ,"thread (on an Internet forum, mailing list, etc.)/topic/conversation/post",True,False,False,False,882669
wan,ワン,one,False,False,False,False,867969
guruupu,グループ,group (usu. of people),True,False,False,False,860212
supootsu,スポーツ,sport/sports,True,False,False,False,837820
kamera,カメラ,camera,True,False,False,False,829319
bakku,バック,back,True,False,False,False,829108
sutaffu,スタッフ,staff,True,False,False,False,829054
nyuusu,ニュース,news,True,False,False,False,824293
booru,ボール,ball,True,False,False,False,820409
pasokon,パソコン,personal computer,True,False,False,False,808797
fairu,ファイル,file,True,True,False,False,800091
burando,ブランド,brand,True,False,False,False,799934
pan,パン,bread/pastries (e.g. croissants)/pastry-based products,True,False,False,False,790745
kurasu,クラス,class,True,False,False,False,790289
kii,キー,"key (lock, keyboard, piano, clue, island, cay, etc.)",True,False,False,False,782873
man,マン,man,True,False,False,False,778703
in,イン,"in (of a ball, in tennis, etc.)/inside the line",True,False,False,False,778429
purei,プレイ,play/recreation,True,True,False,False,769633
teema,テーマ,theme/topic/subject matter/motif/project/slogan,True,False,False,False,768937
bijinesu,ビジネス,business,True,False,False,False,761012
rinku,リンク,link/directory entry,True,True,False,False,744491
sutairu,スタイル,(one's) figure/build/physique/shape,True,False,False,False,741344
taitoru,タイトル,title,True,False,False,False,737238
taimu,タイム,time,True,False,False,False,725557
on,オン,on,True,True,False,False,718626
mein,メイン,main/principal,True,False,False,False,706695
neta,ネタ,"material (for a story, article, etc.)/information/news item",True,False,False,False,702127
shoppu,ショップ,shop,True,False,False,False,698063
honto,ホント,truth/reality/actuality/fact,True,False,True,False,696233
burakku,ブラック,black,True,False,False,False,690771
arubamu,アルバム,album,True,False,False,False,690263
aitemu,アイテム,item,True,False,False,False,684196
furansu,フランス,France,True,False,False,False,675292
suupaa,スーパー,supermarket,True,False,False,False,662998
kurabu,クラブ,nightclub,True,False,False,False,651646
purezento,プレゼント,present/gift,True,False,False,False,646249
sutaato,スタート,start,True,True,False,False,640590
reesu,レース,race,True,False,False,False,639198
orijinaru,オリジナル,original,True,False,False,False,638443
baggu,バッグ,bag,True,False,False,False,633910
enerugii,エネルギー,energy,True,False,False,False,632611
baransu,バランス,balance,True,True,False,False,627102
baka,バカ,idiot/moron/fool,True,False,False,False,624523
doru,ドル,dollar,True,False,False,False,622160
pawaa,パワー,power,True,False,False,False,620661
