English,Hepburn,Kana,Frequency,Shortened/changed spelling,Different Meaning
website,saito,サイト,2714191,1,0
size,saizu,サイズ,2335959,0,0
game,geemu,ゲーム,2218381,0,0
email,meeru,メール,1823604,1,1
service,saabisu,サービス,1801686,0,1
blog,burogu,ブログ,1791612,0,0
page,peeji,ページ,1762357,0,0
TV,terebi,テレビ,1685618,1,0
system,shisutemu,システム,1610239,0,0
design,dezain,デザイン,1537834,0,0
card,kaado,カード,1525958,0,0
set,setto,セット,1522438,0,0
type,taipu,タイプ,1515128,0,1
America,amerika,アメリカ,1480633,0,0
level,reberu,レベル,1458426,0,0
point,pointo,ポイント,1424610,0,0
app,appu,アップ,1424269,0,0
fan,fan,ファン,1421614,0,0
net,netto,ネット,1392384,0,0
comment,komento,コメント,1310828,0,0
hotel,hoteru,ホテル,1309344,0,0
data,deeta,データ,1308462,0,0
event,ibento,イベント,1291860,0,0
character,kyara,キャラ,1253162,1,0
bus,basu,バス,1233395,0,0
series,shiriizu,シリーズ,1210890,0,0
team,chiimu,チーム,1200578,0,0
image,imeeji,イメージ,1195455,0,0
color,karaa,カラー,1152372,0,0
line,rain,ライン,1146754,0,0
center,sentaa,センター,1135178,0,0
model,moderu,モデル,1116619,0,0
home,hoomu,ホーム,1094592,0,0
software,sofuto,ソフト,1084742,1,0
scene,shiin,シーン,1080426,0,0
maker (manufacturer),meekaa,メーカー,1065246,0,1
anime,anime,アニメ,1063671,0,0
"NG no good",dame,ダメ,997852,1,1
live,raibu,ライブ,977966,0,0
member,menbaa,メンバー,952536,0,0
check,chekku,チェック,923909,0,0
professional,puro,プロ,914401,1,0
top,toppu,トップ,912463,0,0
drama,dorama,ドラマ,905575,0,
case,keesu,ケース,894695,0,
course,koosu,コース,892117,0,
thread,sure,スレ,882669,1,0
woof or one,wan,ワン,867969,0,1
group,guruupu,グループ,860212,0,
sport,supootsu,スポーツ,837820,0,
camera,kamera,カメラ,829319,0,
back,bakku,バック,829108,0,
staff,sutaffu,スタッフ,829054,0,
news,nyuusu,ニュース,824293,0,
ball,booru,ボール,820409,0,
PC,pasokon,パソコン,808797,1,
file,fairu,ファイル,800091,0,
brand,burando,ブランド,799934,0,
bread,pan,パン,790745,0,1
class,kurasu,クラス,790289,0,
key,kii,キー,782873,0,
man,man,マン,778703,0,
inn,in,イン,778429,0,
play,purei,プレイ,769633,0,
theme,teema,テーマ,768937,0,
business,bijinesu,ビジネス,761012,0,
link,rinku,リンク,744491,0,0
style,sutairu,スタイル,741344,0,1
